day,state_Y,state_N,state_A,state_C,state_B,control_uC,control_uA,control_uF,control_control_mode,control_arm_name,param_NA_eff,param_lambda_eff,param_k1,param_delta_Y_min
64,0.8959742375835867,0.9147413975652596,0.9990449950492033,-1.0000000000000004,0.07931710920305732,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
65,0.8921888143236848,0.9102308809169447,0.999140495544283,-1.0200000000000005,0.07352197644214012,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
66,0.8899067118030094,0.9061660470941577,0.9992264459898547,-1.0400000000000005,0.06946538350949807,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
67,0.8888222388897284,0.902697285453272,0.9993038013908692,-1.0600000000000005,0.06662576845664865,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
68,0.8884130129514536,0.8998404309529084,0.9993734212517822,-1.0800000000000005,0.08763310801375737,0.0,0.1,0.1916255841175277,fluctuation,identity,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
69,0.8724642831448606,0.8943652013912988,0.9994360791266039,-1.1000000000000005,0.07934317560963015,0.0,0.1,0.0,fluctuation,identity,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
70,0.8674244938977507,0.8889770598925892,0.9994924712139436,-1.1200000000000006,0.0735402229267411,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
71,0.8607536385448749,0.8833323756230465,0.9995432240925493,-1.1400000000000006,0.06947815604871876,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
72,0.8522665702988927,0.8771192145582158,0.9995889016832943,-1.1600000000000006,0.06663470923410313,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
73,0.8572077907678127,0.8731369298001352,0.9996300115149649,-1.1800000000000006,0.08761788004900511,0.0,0.1,0.19144652987610772,fluctuation,injunctive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
